,model,epochs,weights,criterion,optimizer,learning_rate,L1_norm,VBS_test,SBS_test,Accuracy_test,Score_test,Gap_test,VBS_train,SBS_train,Accuracy_train,Score_train,Gap_train
MLP_modelID_1_weights_balanced_optimizer_Adam_learningrate_0.0003_l1Norm_0,Small_Dropout,200.0,balanced,CrossEntropyLoss,Adam,0.0003,0.0,1910.8337724711569,5106.399455325999,0.5836,7480.394845720418,-0.7429030181202683,1936.8916563799808,4801.996742251442,0.8679,2760.4387515094595,0.7125595500176967
MLP_modelID_1_weights_balanced_optimizer_Adam_learningrate_0.0003_l1Norm_0.0001,Small_Dropout,200.0,balanced,CrossEntropyLoss,Adam,0.0003,0.0001,1910.8337724711569,5106.399455325999,0.5951,7264.647163938824,-0.6753883108059595,1936.8916563799808,4801.996742251442,0.8838,2597.2919602844486,0.7695022401931908
MLP_modelID_1_weights_balanced_optimizer_Adam_learningrate_0.01_l1Norm_0,Small_Dropout,200.0,balanced,CrossEntropyLoss,Adam,0.01,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_Adam_learningrate_0.01_l1Norm_0.0001,Small_Dropout,200.0,balanced,CrossEntropyLoss,Adam,0.01,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_Adam_learningrate_0.1_l1Norm_0,Small_Dropout,200.0,balanced,CrossEntropyLoss,Adam,0.1,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_Adam_learningrate_0.1_l1Norm_0.0001,Small_Dropout,200.0,balanced,CrossEntropyLoss,Adam,0.1,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_Adam_learningrate_1_l1Norm_0,Small_Dropout,200.0,balanced,CrossEntropyLoss,Adam,1.0,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_Adam_learningrate_1_l1Norm_0.0001,Small_Dropout,200.0,balanced,CrossEntropyLoss,Adam,1.0,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_LBFGS_learningrate_0.0003_l1Norm_0,Small_Dropout,200.0,balanced,CrossEntropyLoss,LBFGS,0.0003,0.0,1910.8337724711569,5106.399455325999,0.4151,17595.218105715052,-3.908171475678084,1936.8916563799808,4801.996742251442,0.4021,17885.20252985375,-4.566396483018657
MLP_modelID_1_weights_balanced_optimizer_LBFGS_learningrate_0.0003_l1Norm_0.0001,Small_Dropout,200.0,balanced,CrossEntropyLoss,LBFGS,0.0003,0.0001,1910.8337724711569,5106.399455325999,0.3426,23996.51939898041,-5.911353988123452,1936.8916563799808,4801.996742251442,0.3385,23524.49994968469,-6.534665447267021
MLP_modelID_1_weights_balanced_optimizer_LBFGS_learningrate_0.01_l1Norm_0,Small_Dropout,200.0,balanced,CrossEntropyLoss,LBFGS,0.01,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_LBFGS_learningrate_0.01_l1Norm_0.0001,Small_Dropout,200.0,balanced,CrossEntropyLoss,LBFGS,0.01,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_LBFGS_learningrate_0.1_l1Norm_0,Small_Dropout,200.0,balanced,CrossEntropyLoss,LBFGS,0.1,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_LBFGS_learningrate_0.1_l1Norm_0.0001,Small_Dropout,200.0,balanced,CrossEntropyLoss,LBFGS,0.1,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_LBFGS_learningrate_1_l1Norm_0,Small_Dropout,200.0,balanced,CrossEntropyLoss,LBFGS,1.0,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_LBFGS_learningrate_1_l1Norm_0.0001,Small_Dropout,200.0,balanced,CrossEntropyLoss,LBFGS,1.0,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_SGD_learningrate_0.0003_l1Norm_0,Small_Dropout,200.0,balanced,CrossEntropyLoss,SGD,0.0003,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_SGD_learningrate_0.0003_l1Norm_0.0001,Small_Dropout,200.0,balanced,CrossEntropyLoss,SGD,0.0003,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_SGD_learningrate_0.01_l1Norm_0,Small_Dropout,200.0,balanced,CrossEntropyLoss,SGD,0.01,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_SGD_learningrate_0.01_l1Norm_0.0001,Small_Dropout,200.0,balanced,CrossEntropyLoss,SGD,0.01,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_SGD_learningrate_0.1_l1Norm_0,Small_Dropout,200.0,balanced,CrossEntropyLoss,SGD,0.1,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_SGD_learningrate_0.1_l1Norm_0.0001,Small_Dropout,200.0,balanced,CrossEntropyLoss,SGD,0.1,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_SGD_learningrate_1_l1Norm_0,Small_Dropout,200.0,balanced,CrossEntropyLoss,SGD,1.0,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_balanced_optimizer_SGD_learningrate_1_l1Norm_0.0001,Small_Dropout,200.0,balanced,CrossEntropyLoss,SGD,1.0,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_normal_optimizer_Adam_learningrate_0.0003_l1Norm_0,Small_Dropout,200.0,normal,CrossEntropyLoss,Adam,0.0003,0.0,1910.8337724711569,5106.399455325999,0.5774,10815.35154816206,-1.7865231572194813,1936.8916563799808,4801.996742251442,0.9842,2237.632219240574,0.8950333220433628
MLP_modelID_1_weights_normal_optimizer_Adam_learningrate_0.0003_l1Norm_0.0001,Small_Dropout,200.0,normal,CrossEntropyLoss,Adam,0.0003,0.0001,1910.8337724711569,5106.399455325999,0.5884,10564.118677220284,-1.7079039405062355,1936.8916563799808,4801.996742251442,0.9913,2093.965575607138,0.9451769081693628
MLP_modelID_1_weights_normal_optimizer_Adam_learningrate_0.01_l1Norm_0,Small_Dropout,200.0,normal,CrossEntropyLoss,Adam,0.01,0.0,1910.8337724711569,5106.399455325999,0.546,11654.746093372689,-2.0491979473870647,1936.8916563799808,4801.996742251442,0.9233,2910.568389910104,0.6601602020353241
MLP_modelID_1_weights_normal_optimizer_Adam_learningrate_0.01_l1Norm_0.0001,Small_Dropout,200.0,normal,CrossEntropyLoss,Adam,0.01,0.0001,1910.8337724711569,5106.399455325999,0.5702,12034.775132814597,-2.168121817887014,1936.8916563799808,4801.996742251442,0.8817,4582.246913994365,0.0766986974895675
MLP_modelID_1_weights_normal_optimizer_Adam_learningrate_0.1_l1Norm_0,Small_Dropout,200.0,normal,CrossEntropyLoss,Adam,0.1,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_normal_optimizer_Adam_learningrate_0.1_l1Norm_0.0001,Small_Dropout,200.0,normal,CrossEntropyLoss,Adam,0.1,0.0001,1910.8337724711569,5106.399455325999,0.5356,11882.305229407031,-2.120408856070703,1936.8916563799808,4801.996742251442,0.6933,8265.970958003489,-1.2090216979592676
MLP_modelID_1_weights_normal_optimizer_Adam_learningrate_1_l1Norm_0,Small_Dropout,200.0,normal,CrossEntropyLoss,Adam,1.0,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_normal_optimizer_Adam_learningrate_1_l1Norm_0.0001,Small_Dropout,200.0,normal,CrossEntropyLoss,Adam,1.0,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_normal_optimizer_LBFGS_learningrate_0.0003_l1Norm_0,Small_Dropout,200.0,normal,CrossEntropyLoss,LBFGS,0.0003,0.0,1910.8337724711569,5106.399455325999,0.2519,28623.65644754494,-7.359340826069074,1936.8916563799808,4801.996742251442,0.2384,28871.928552931706,-8.401064215541354
MLP_modelID_1_weights_normal_optimizer_LBFGS_learningrate_0.0003_l1Norm_0.0001,Small_Dropout,200.0,normal,CrossEntropyLoss,LBFGS,0.0003,0.0001,1910.8337724711569,5106.399455325999,0.3134,28475.350992755568,-7.312931060316151,1936.8916563799808,4801.996742251442,0.3058,28712.65156983765,-8.34547219419474
MLP_modelID_1_weights_normal_optimizer_LBFGS_learningrate_0.01_l1Norm_0,Small_Dropout,200.0,normal,CrossEntropyLoss,LBFGS,0.01,0.0,1910.8337724711569,5106.399455325999,0.5058,15187.858795277702,-3.154827764624499,1936.8916563799808,4801.996742251442,0.5551,13634.107182342685,-3.082647992090955
MLP_modelID_1_weights_normal_optimizer_LBFGS_learningrate_0.01_l1Norm_0.0001,Small_Dropout,200.0,normal,CrossEntropyLoss,LBFGS,0.01,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_normal_optimizer_LBFGS_learningrate_0.1_l1Norm_0,Small_Dropout,200.0,normal,CrossEntropyLoss,LBFGS,0.1,0.0,1910.8337724711569,5106.399455325999,0.1293,32760.049680708344,-8.653757415706513,1936.8916563799808,4801.996742251442,0.1198,32654.185305917083,-9.72117522006842
MLP_modelID_1_weights_normal_optimizer_LBFGS_learningrate_0.1_l1Norm_0.0001,Small_Dropout,200.0,normal,CrossEntropyLoss,LBFGS,0.1,0.0001,1910.8337724711569,5106.399455325999,0.5001,15893.77829889992,-3.375733724220224,1936.8916563799808,4801.996742251442,0.5731,13681.356808667651,-3.0991394033686657
MLP_modelID_1_weights_normal_optimizer_LBFGS_learningrate_1_l1Norm_0,Small_Dropout,200.0,normal,CrossEntropyLoss,LBFGS,1.0,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_normal_optimizer_LBFGS_learningrate_1_l1Norm_0.0001,Small_Dropout,200.0,normal,CrossEntropyLoss,LBFGS,1.0,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_normal_optimizer_SGD_learningrate_0.0003_l1Norm_0,Small_Dropout,200.0,normal,CrossEntropyLoss,SGD,0.0003,0.0,1910.8337724711569,5106.399455325999,0.5865,5115.788339146767,-0.0029380975866468,1936.8916563799808,4801.996742251442,0.5869,4821.448964846371,-0.006789357462263
MLP_modelID_1_weights_normal_optimizer_SGD_learningrate_0.0003_l1Norm_0.0001,Small_Dropout,200.0,normal,CrossEntropyLoss,SGD,0.0003,0.0001,1910.8337724711569,5106.399455325999,0.5857,5168.106772202844,-0.0193102952656936,1936.8916563799808,4801.996742251442,0.5872,4824.104752448679,-0.0077162999382662
MLP_modelID_1_weights_normal_optimizer_SGD_learningrate_0.01_l1Norm_0,Small_Dropout,200.0,normal,CrossEntropyLoss,SGD,0.01,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_normal_optimizer_SGD_learningrate_0.01_l1Norm_0.0001,Small_Dropout,200.0,normal,CrossEntropyLoss,SGD,0.01,0.0001,1910.8337724711569,5106.399455325999,0.5852,5193.5964877917895,-0.0272868847395715,1936.8916563799808,4801.996742251442,0.5889,4858.147019991949,-0.0195979819439773
MLP_modelID_1_weights_normal_optimizer_SGD_learningrate_0.1_l1Norm_0,Small_Dropout,200.0,normal,CrossEntropyLoss,SGD,0.1,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_normal_optimizer_SGD_learningrate_0.1_l1Norm_0.0001,Small_Dropout,200.0,normal,CrossEntropyLoss,SGD,0.1,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_normal_optimizer_SGD_learningrate_1_l1Norm_0,Small_Dropout,200.0,normal,CrossEntropyLoss,SGD,1.0,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_1_weights_normal_optimizer_SGD_learningrate_1_l1Norm_0.0001,Small_Dropout,200.0,normal,CrossEntropyLoss,SGD,1.0,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_balanced_optimizer_Adam_learningrate_0.0003_l1Norm_0,Small,200.0,balanced,CrossEntropyLoss,Adam,0.0003,0.0,1910.8337724711569,5106.399455325999,0.5914,7617.265162328951,-0.7857343444619183,1936.8916563799808,4801.996742251442,0.9209,2421.0217060244195,0.8310253777315872
MLP_modelID_2_weights_balanced_optimizer_Adam_learningrate_0.0003_l1Norm_0.0001,Small,200.0,balanced,CrossEntropyLoss,Adam,0.0003,0.0001,1910.8337724711569,5106.399455325999,0.6067,6897.414810839818,-0.56046895393925,1936.8916563799808,4801.996742251442,0.9358,2286.3865591037165,0.8780167246056066
MLP_modelID_2_weights_balanced_optimizer_Adam_learningrate_0.01_l1Norm_0,Small,200.0,balanced,CrossEntropyLoss,Adam,0.01,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_balanced_optimizer_Adam_learningrate_0.01_l1Norm_0.0001,Small,200.0,balanced,CrossEntropyLoss,Adam,0.01,0.0001,1910.8337724711569,5106.399455325999,0.5728,5877.489476790984,-0.241300006944658,1936.8916563799808,4801.996742251442,0.6343,4500.639103716624,0.1051820542362954
MLP_modelID_2_weights_balanced_optimizer_Adam_learningrate_0.1_l1Norm_0,Small,200.0,balanced,CrossEntropyLoss,Adam,0.1,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_balanced_optimizer_Adam_learningrate_0.1_l1Norm_0.0001,Small,200.0,balanced,CrossEntropyLoss,Adam,0.1,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_balanced_optimizer_Adam_learningrate_1_l1Norm_0,Small,200.0,balanced,CrossEntropyLoss,Adam,1.0,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_balanced_optimizer_Adam_learningrate_1_l1Norm_0.0001,Small,200.0,balanced,CrossEntropyLoss,Adam,1.0,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_balanced_optimizer_LBFGS_learningrate_0.0003_l1Norm_0,Small,200.0,balanced,CrossEntropyLoss,LBFGS,0.0003,0.0,1910.8337724711569,5106.399455325999,0.5525,9893.699154816206,-1.4981071192419826,1936.8916563799808,4801.996742251442,0.7368,5550.275657453375,-0.2611697975379266
MLP_modelID_2_weights_balanced_optimizer_LBFGS_learningrate_0.0003_l1Norm_0.0001,Small,200.0,balanced,CrossEntropyLoss,LBFGS,0.0003,0.0001,1910.8337724711569,5106.399455325999,0.549,9920.05215991414,-1.5063538610440137,1936.8916563799808,4801.996742251442,0.7332,5670.036077418489,-0.3029694580654523
MLP_modelID_2_weights_balanced_optimizer_LBFGS_learningrate_0.01_l1Norm_0,Small,200.0,balanced,CrossEntropyLoss,LBFGS,0.01,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_balanced_optimizer_LBFGS_learningrate_0.01_l1Norm_0.0001,Small,200.0,balanced,CrossEntropyLoss,LBFGS,0.01,0.0001,1910.8337724711569,5106.399455325999,0.5597,8538.170324657902,-1.0739165487176092,1936.8916563799808,4801.996742251442,0.7518,3714.2523245672887,0.3796525380685298
MLP_modelID_2_weights_balanced_optimizer_LBFGS_learningrate_0.1_l1Norm_0,Small,200.0,balanced,CrossEntropyLoss,LBFGS,0.1,0.0,1910.8337724711569,5106.399455325999,0.5868,5113.852033807352,-0.0023321625092354,1936.8916563799808,4801.996742251442,0.5878,4812.860821816718,-0.0037918607658928
MLP_modelID_2_weights_balanced_optimizer_LBFGS_learningrate_0.1_l1Norm_0.0001,Small,200.0,balanced,CrossEntropyLoss,LBFGS,0.1,0.0001,1910.8337724711569,5106.399455325999,0.583,5248.193608800643,-0.0443721605333953,1936.8916563799808,4801.996742251442,0.5874,4902.681611431638,-0.035141771824251
MLP_modelID_2_weights_balanced_optimizer_LBFGS_learningrate_1_l1Norm_0,Small,200.0,balanced,CrossEntropyLoss,LBFGS,1.0,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_balanced_optimizer_LBFGS_learningrate_1_l1Norm_0.0001,Small,200.0,balanced,CrossEntropyLoss,LBFGS,1.0,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_balanced_optimizer_SGD_learningrate_0.0003_l1Norm_0,Small,200.0,balanced,CrossEntropyLoss,SGD,0.0003,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_balanced_optimizer_SGD_learningrate_0.0003_l1Norm_0.0001,Small,200.0,balanced,CrossEntropyLoss,SGD,0.0003,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_balanced_optimizer_SGD_learningrate_0.01_l1Norm_0,Small,200.0,balanced,CrossEntropyLoss,SGD,0.01,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_balanced_optimizer_SGD_learningrate_0.01_l1Norm_0.0001,Small,200.0,balanced,CrossEntropyLoss,SGD,0.01,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_balanced_optimizer_SGD_learningrate_0.1_l1Norm_0,Small,200.0,balanced,CrossEntropyLoss,SGD,0.1,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_balanced_optimizer_SGD_learningrate_0.1_l1Norm_0.0001,Small,200.0,balanced,CrossEntropyLoss,SGD,0.1,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_balanced_optimizer_SGD_learningrate_1_l1Norm_0,Small,200.0,balanced,CrossEntropyLoss,SGD,1.0,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_balanced_optimizer_SGD_learningrate_1_l1Norm_0.0001,Small,200.0,balanced,CrossEntropyLoss,SGD,1.0,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_normal_optimizer_Adam_learningrate_0.0003_l1Norm_0,Small,200.0,normal,CrossEntropyLoss,Adam,0.0003,0.0,1910.8337724711569,5106.399455325999,0.5957,9193.526007512746,-1.2789993878440344,1936.8916563799808,4801.996742251442,0.9949,2009.6940265664832,0.974589982564511
MLP_modelID_2_weights_normal_optimizer_Adam_learningrate_0.0003_l1Norm_0.0001,Small,200.0,normal,CrossEntropyLoss,Adam,0.0003,0.0001,1910.8337724711569,5106.399455325999,0.5999,9389.34308827475,-1.3402771396401,1936.8916563799808,4801.996742251442,0.9984,1954.1725862068963,0.993968483071657
MLP_modelID_2_weights_normal_optimizer_Adam_learningrate_0.01_l1Norm_0,Small,200.0,normal,CrossEntropyLoss,Adam,0.01,0.0,1910.8337724711569,5106.399455325999,0.5361,12429.047456399248,-2.2915028911348707,1936.8916563799808,4801.996742251442,0.9017,3216.8148591171343,0.5532718122456416
MLP_modelID_2_weights_normal_optimizer_Adam_learningrate_0.01_l1Norm_0.0001,Small,200.0,normal,CrossEntropyLoss,Adam,0.01,0.0001,1910.8337724711569,5106.399455325999,0.5616,10831.373933458548,-1.7915371005668057,1936.8916563799808,4801.996742251442,0.9526,2687.2534442506376,0.7381032229599971
MLP_modelID_2_weights_normal_optimizer_Adam_learningrate_0.1_l1Norm_0,Small,200.0,normal,CrossEntropyLoss,Adam,0.1,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_normal_optimizer_Adam_learningrate_0.1_l1Norm_0.0001,Small,200.0,normal,CrossEntropyLoss,Adam,0.1,0.0001,1910.8337724711569,5106.399455325999,0.5299,13659.038473302924,-2.6764084568389155,1936.8916563799808,4801.996742251442,0.8503,5280.677687508386,-0.1670727358718666
MLP_modelID_2_weights_normal_optimizer_Adam_learningrate_1_l1Norm_0,Small,200.0,normal,CrossEntropyLoss,Adam,1.0,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_normal_optimizer_Adam_learningrate_1_l1Norm_0.0001,Small,200.0,normal,CrossEntropyLoss,Adam,1.0,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_normal_optimizer_LBFGS_learningrate_0.0003_l1Norm_0,Small,200.0,normal,CrossEntropyLoss,LBFGS,0.0003,0.0,1910.8337724711569,5106.399455325999,0.5076,14628.279307754226,-2.9797165188986527,1936.8916563799808,4801.996742251442,0.8805,4067.4496927411774,0.2563770010155983
MLP_modelID_2_weights_normal_optimizer_LBFGS_learningrate_0.0003_l1Norm_0.0001,Small,200.0,normal,CrossEntropyLoss,LBFGS,0.0003,0.0001,1910.8337724711569,5106.399455325999,0.4773,12347.557094177622,-2.2660018154853088,1936.8916563799808,4801.996742251442,0.7013,7777.39359855092,-1.038494842989143
MLP_modelID_2_weights_normal_optimizer_LBFGS_learningrate_0.01_l1Norm_0,Small,200.0,normal,CrossEntropyLoss,LBFGS,0.01,0.0,1910.8337724711569,5106.399455325999,0.5401,12865.538202307484,-2.428095528942361,1936.8916563799808,4801.996742251442,0.9935,2006.8964698779016,0.9755664063272472
MLP_modelID_2_weights_normal_optimizer_LBFGS_learningrate_0.01_l1Norm_0.0001,Small,200.0,normal,CrossEntropyLoss,LBFGS,0.01,0.0001,1910.8337724711569,5106.399455325999,0.5296,13491.509994633754,-2.623983160257465,1936.8916563799808,4801.996742251442,0.9948,1982.7141157922983,0.9840067089900896
MLP_modelID_2_weights_normal_optimizer_LBFGS_learningrate_0.1_l1Norm_0,Small,200.0,normal,CrossEntropyLoss,LBFGS,0.1,0.0,1910.8337724711569,5106.399455325999,0.4712,17275.346756104103,-3.8080729700122,1936.8916563799808,4801.996742251442,0.4669,16791.345923118206,-4.184610623878754
MLP_modelID_2_weights_normal_optimizer_LBFGS_learningrate_0.1_l1Norm_0.0001,Small,200.0,normal,CrossEntropyLoss,LBFGS,0.1,0.0001,1910.8337724711569,5106.399455325999,0.5602,12145.917646900994,-2.20290204934422,1936.8916563799808,4801.996742251442,0.8523,5177.295987521804,-0.130989696371367
MLP_modelID_2_weights_normal_optimizer_LBFGS_learningrate_1_l1Norm_0,Small,200.0,normal,CrossEntropyLoss,LBFGS,1.0,0.0,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_2_weights_normal_optimizer_LBFGS_learningrate_1_l1Norm_0.0001,Small,200.0,normal,CrossEntropyLoss,LBFGS,1.0,0.0001,1910.8337724711569,5106.399455325999,0.2844,35779.44892406761,-9.598629010604167,1936.8916563799808,4801.996742251442,0.293,35351.53798403328,-10.66262504381747
MLP_modelID_2_weights_normal_optimizer_SGD_learningrate_0.0003_l1Norm_0,Small,200.0,normal,CrossEntropyLoss,SGD,0.0003,0.0,1910.8337724711569,5106.399455325999,0.586,5119.793115105984,-0.0041913267037025,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
