,greedy,dynamic_programming,branch_and_bound
knapPI_1_1000_10000000_244.csv,50000.0,50000.0,2.12
knapPI_1_1000_10000000_245.csv,50000.0,50000.0,10.23
knapPI_1_1000_10000000_246.csv,50000.0,50000.0,722.16
knapPI_1_1000_10000000_247.csv,50000.0,50000.0,6.95
knapPI_1_1000_10000000_248.csv,50000.0,50000.0,5001.25
knapPI_1_1000_10000000_249.csv,50000.0,50000.0,1.81
knapPI_1_1000_10000000_25.csv,50000.0,50000.0,1.15
knapPI_1_1000_10000000_250.csv,50000.0,50000.0,104.62
knapPI_1_1000_10000000_251.csv,50000.0,50000.0,2.69
knapPI_1_1000_10000000_252.csv,50000.0,50000.0,5.48
knapPI_1_1000_10000000_253.csv,50000.0,50000.0,1.55
knapPI_1_1000_10000000_254.csv,50000.0,50000.0,1558.96
knapPI_1_1000_10000000_255.csv,50000.0,50000.0,5000.0
knapPI_1_1000_10000000_256.csv,50000.0,50000.0,7.96
knapPI_1_1000_10000000_257.csv,50000.0,50000.0,5000.62
knapPI_1_1000_10000000_258.csv,50000.0,50000.0,357.37
knapPI_1_1000_10000000_259.csv,50000.0,50000.0,230.5
knapPI_1_1000_10000000_26.csv,50000.0,50000.0,2.95
knapPI_1_1000_10000000_260.csv,50000.0,50000.0,2.91
knapPI_1_1000_10000000_261.csv,0.01,50000.0,1.52
knapPI_1_1000_10000000_262.csv,50000.0,50000.0,5000.0
knapPI_1_1000_10000000_263.csv,50000.0,50000.0,5001.77
knapPI_1_1000_10000000_264.csv,50000.0,50000.0,42.99
knapPI_1_1000_10000000_265.csv,50000.0,50000.0,2.78
knapPI_1_1000_10000000_266.csv,50000.0,50000.0,6.26
knapPI_1_1000_10000000_267.csv,50000.0,50000.0,2.71
knapPI_1_1000_10000000_268.csv,50000.0,50000.0,5002.8
knapPI_1_1000_10000000_269.csv,50000.0,50000.0,3.02
knapPI_1_1000_10000000_27.csv,50000.0,50000.0,3.19
knapPI_1_1000_10000000_270.csv,50000.0,50000.0,2.49
knapPI_1_1000_10000000_271.csv,50000.0,50000.0,8.03
knapPI_1_1000_10000000_272.csv,50000.0,50000.0,5001.89
knapPI_1_1000_10000000_273.csv,50000.0,50000.0,78.3
knapPI_1_1000_10000000_274.csv,50000.0,50000.0,5001.19
knapPI_1_1000_10000000_275.csv,50000.0,50000.0,5000.85
knapPI_1_1000_10000000_276.csv,0.01,50000.0,1.87
knapPI_1_1000_10000000_277.csv,50000.0,50000.0,6.47
knapPI_1_1000_10000000_278.csv,50000.0,50000.0,3.59
knapPI_1_1000_10000000_279.csv,50000.0,50000.0,3510.23
knapPI_1_1000_10000000_28.csv,50000.0,50000.0,2.65
knapPI_1_1000_10000000_280.csv,50000.0,50000.0,5001.57
knapPI_1_1000_10000000_281.csv,50000.0,50000.0,18.93
knapPI_1_1000_10000000_282.csv,50000.0,50000.0,1.23
knapPI_1_1000_10000000_283.csv,50000.0,50000.0,602.38
knapPI_1_1000_10000000_284.csv,50000.0,50000.0,5000.5
knapPI_1_1000_10000000_285.csv,50000.0,50000.0,323.13
knapPI_1_1000_10000000_286.csv,0.0,50000.0,4.45
knapPI_1_1000_10000000_287.csv,50000.0,50000.0,3.38
knapPI_1_1000_10000000_288.csv,50000.0,50000.0,3.46
knapPI_1_1000_10000000_289.csv,50000.0,50000.0,3.4
knapPI_1_1000_10000000_29.csv,50000.0,50000.0,140.89
knapPI_1_1000_10000000_290.csv,50000.0,50000.0,5.64
knapPI_1_1000_10000000_291.csv,50000.0,50000.0,1.85
knapPI_1_1000_10000000_292.csv,50000.0,50000.0,1.59
knapPI_1_1000_10000000_293.csv,50000.0,50000.0,6.2
knapPI_1_1000_10000000_294.csv,50000.0,50000.0,2.23
knapPI_1_1000_10000000_295.csv,50000.0,50000.0,5.18
knapPI_1_1000_10000000_296.csv,50000.0,50000.0,4737.15
knapPI_1_1000_10000000_297.csv,50000.0,50000.0,3.47
knapPI_1_1000_10000000_298.csv,50000.0,50000.0,2.47
knapPI_1_1000_10000000_299.csv,50000.0,50000.0,24.99
knapPI_1_1000_10000000_3.csv,0.0,50000.0,0.88
knapPI_1_1000_10000000_30.csv,50000.0,50000.0,159.05
knapPI_1_1000_10000000_300.csv,50000.0,50000.0,467.06
knapPI_1_1000_10000000_301.csv,50000.0,50000.0,2.64
knapPI_1_1000_10000000_302.csv,50000.0,50000.0,72.35
knapPI_1_1000_10000000_303.csv,50000.0,50000.0,3.25
knapPI_1_1000_10000000_304.csv,50000.0,50000.0,1.52
knapPI_1_1000_10000000_305.csv,50000.0,50000.0,3.7
knapPI_1_1000_10000000_306.csv,0.0,50000.0,0.6
knapPI_1_1000_10000000_307.csv,50000.0,50000.0,0.87
knapPI_1_1000_10000000_308.csv,50000.0,50000.0,30.5
knapPI_1_1000_10000000_309.csv,50000.0,50000.0,1.7
knapPI_1_1000_10000000_31.csv,50000.0,50000.0,43.96
knapPI_1_1000_10000000_310.csv,50000.0,50000.0,0.98
knapPI_1_1000_10000000_311.csv,50000.0,50000.0,2.63
knapPI_1_1000_10000000_312.csv,0.0,50000.0,0.54
knapPI_1_1000_10000000_313.csv,50000.0,50000.0,26.41
knapPI_1_1000_10000000_314.csv,50000.0,50000.0,1.47
knapPI_1_1000_10000000_315.csv,50000.0,50000.0,1.76
knapPI_1_1000_10000000_316.csv,50000.0,50000.0,2.57
knapPI_1_1000_10000000_317.csv,50000.0,50000.0,3.64
knapPI_1_1000_10000000_318.csv,50000.0,50000.0,162.98
knapPI_1_1000_10000000_319.csv,50000.0,50000.0,5000.36
knapPI_1_1000_10000000_32.csv,50000.0,50000.0,4.91
knapPI_1_1000_10000000_320.csv,50000.0,50000.0,1.69
knapPI_1_1000_10000000_321.csv,50000.0,50000.0,0.54
knapPI_1_1000_10000000_322.csv,50000.0,50000.0,52.97
knapPI_1_1000_10000000_323.csv,50000.0,50000.0,3.09
knapPI_1_1000_10000000_324.csv,50000.0,50000.0,4.12
knapPI_1_1000_10000000_325.csv,50000.0,50000.0,4.54
knapPI_1_1000_10000000_326.csv,50000.0,50000.0,305.29
knapPI_1_1000_10000000_327.csv,50000.0,50000.0,5000.0
knapPI_1_1000_10000000_328.csv,50000.0,50000.0,1.98
knapPI_1_1000_10000000_329.csv,50000.0,50000.0,1884.25
knapPI_1_1000_10000000_33.csv,50000.0,50000.0,3.6
knapPI_1_1000_10000000_330.csv,50000.0,50000.0,5000.45
knapPI_1_1000_10000000_331.csv,50000.0,50000.0,3304.54
knapPI_1_1000_10000000_332.csv,50000.0,50000.0,20.64
knapPI_1_1000_10000000_333.csv,50000.0,50000.0,2.53
knapPI_1_1000_10000000_334.csv,50000.0,50000.0,350.95
knapPI_1_1000_10000000_335.csv,50000.0,50000.0,3.66
knapPI_1_1000_10000000_336.csv,50000.0,50000.0,2.15
knapPI_1_1000_10000000_337.csv,0.0,50000.0,3.03
knapPI_1_1000_10000000_338.csv,50000.0,50000.0,83.74
knapPI_1_1000_10000000_339.csv,0.0,50000.0,1.7
knapPI_1_1000_10000000_34.csv,50000.0,50000.0,3.84
knapPI_1_1000_10000000_340.csv,50000.0,50000.0,5001.49
knapPI_1_1000_10000000_341.csv,50000.0,50000.0,7.83
knapPI_1_1000_10000000_342.csv,50000.0,50000.0,14.91
knapPI_1_1000_10000000_343.csv,50000.0,50000.0,4.12
knapPI_1_1000_10000000_344.csv,50000.0,50000.0,4.33
knapPI_1_1000_10000000_345.csv,50000.0,50000.0,0.54
knapPI_1_1000_10000000_346.csv,50000.0,50000.0,4.05
knapPI_1_1000_10000000_347.csv,50000.0,50000.0,6.51
knapPI_1_1000_10000000_348.csv,0.0,50000.0,4.12
knapPI_1_1000_10000000_349.csv,50000.0,50000.0,2.57
knapPI_1_1000_10000000_35.csv,50000.0,50000.0,1.54
knapPI_1_1000_10000000_350.csv,50000.0,50000.0,8.63
knapPI_1_1000_10000000_351.csv,50000.0,50000.0,5.53
knapPI_1_1000_10000000_352.csv,50000.0,50000.0,3.43
knapPI_1_1000_10000000_353.csv,50000.0,50000.0,3.06
knapPI_1_1000_10000000_354.csv,50000.0,50000.0,4.96
knapPI_1_1000_10000000_355.csv,50000.0,50000.0,3.99
knapPI_1_1000_10000000_356.csv,50000.0,50000.0,327.97
knapPI_1_1000_10000000_357.csv,50000.0,50000.0,2.08
knapPI_1_1000_10000000_358.csv,50000.0,50000.0,0.97
knapPI_1_1000_10000000_359.csv,50000.0,50000.0,5000.61
knapPI_1_1000_10000000_36.csv,0.0,50000.0,2.46
knapPI_1_1000_10000000_360.csv,50000.0,50000.0,194.93
knapPI_1_1000_10000000_361.csv,50000.0,50000.0,3.53
knapPI_1_1000_10000000_362.csv,50000.0,50000.0,120.05
knapPI_1_1000_10000000_363.csv,50000.0,50000.0,2.18
knapPI_1_1000_10000000_364.csv,50000.0,50000.0,4922.67
knapPI_1_1000_10000000_365.csv,50000.0,50000.0,17.07
knapPI_1_1000_10000000_366.csv,50000.0,50000.0,1.42
knapPI_1_1000_10000000_367.csv,0.01,50000.0,3.53
knapPI_1_1000_10000000_368.csv,50000.0,50000.0,1.53
knapPI_1_1000_10000000_369.csv,50000.0,50000.0,1.53
knapPI_1_1000_10000000_37.csv,50000.0,50000.0,2.06
knapPI_1_1000_10000000_370.csv,50000.0,50000.0,9.21
knapPI_1_1000_10000000_371.csv,50000.0,50000.0,1.99
knapPI_1_1000_10000000_372.csv,50000.0,50000.0,1205.76
knapPI_1_1000_10000000_373.csv,50000.0,50000.0,4.2
knapPI_1_1000_10000000_374.csv,50000.0,50000.0,86.48
knapPI_1_1000_10000000_375.csv,50000.0,50000.0,2.92
knapPI_1_1000_10000000_376.csv,50000.0,50000.0,6.64
knapPI_1_1000_10000000_377.csv,50000.0,50000.0,3.63
knapPI_1_1000_10000000_378.csv,50000.0,50000.0,1969.91
knapPI_1_1000_10000000_379.csv,0.0,50000.0,2.52
knapPI_1_1000_10000000_38.csv,50000.0,50000.0,5.05
knapPI_1_1000_10000000_380.csv,50000.0,50000.0,0.83
knapPI_1_1000_10000000_381.csv,50000.0,50000.0,6.11
knapPI_1_1000_10000000_382.csv,50000.0,50000.0,1.67
knapPI_1_1000_10000000_383.csv,0.0,50000.0,1.52
knapPI_1_1000_10000000_384.csv,50000.0,50000.0,9.2
knapPI_1_1000_10000000_385.csv,0.01,50000.0,2.44
knapPI_1_1000_10000000_386.csv,50000.0,50000.0,3.72
knapPI_1_1000_10000000_387.csv,50000.0,50000.0,0.58
knapPI_1_1000_10000000_388.csv,50000.0,50000.0,2.62
knapPI_1_1000_10000000_389.csv,50000.0,50000.0,4817.45
knapPI_1_1000_10000000_39.csv,50000.0,50000.0,1.75
knapPI_1_1000_10000000_390.csv,50000.0,50000.0,1261.67
knapPI_1_1000_10000000_391.csv,0.0,50000.0,2.52
knapPI_1_1000_10000000_392.csv,50000.0,50000.0,1.74
knapPI_1_1000_10000000_393.csv,50000.0,50000.0,130.84
knapPI_1_1000_10000000_394.csv,50000.0,50000.0,0.76
knapPI_1_1000_10000000_395.csv,50000.0,50000.0,2.59
knapPI_1_1000_10000000_396.csv,50000.0,50000.0,2.0
knapPI_1_1000_10000000_397.csv,50000.0,50000.0,4.98
knapPI_1_1000_10000000_398.csv,0.0,50000.0,3.46
